Image;Tag;Title Lent;Title Lent_link;Game Genre 1;Game Genre 3;Game Date;Game Genre 4
https://stopga.me/images/games/2020/04/05/c170x119/4RVfvQlqXDtSI2ZlizIKbQ/wVWt15bV.jpg;9.6;Tiny Bunny;https://stopgame.ru/game/tiny_bunny;adventure;;19 марта 2020 г.;PC
https://stopga.me/images/games/logos/18974/c170x119/y5m8pTxwwJv6CEBnkv_8SQ/persona_5_the_royal.jpg;9.5;Persona 5 Royal;https://stopgame.ru/game/persona_5_the_royal;rpg;;31 окт€бр€ 2019 г.;PS4
https://stopga.me/images/games/logos/13092/c170x119/hGsN1yiZykyMUhmU2sy0-g/witcher_3_wild_hunt.jpg;9.5;Witcher 3: Wild Hunt, The;https://stopgame.ru/game/witcher_3_wild_hunt;rpg;;18 ма€ 2015 г.;PC, PS4, XONE
https://stopga.me/images/games/logos/15282/c170x119/kbVgmjx_mG13g0FJTQio1A/witcher_3_wild_hunt_blood_and_wine.jpg;9.5;Witcher 3: Wild Hunt - Blood and Wine, The;https://stopgame.ru/game/witcher_3_wild_hunt_blood_and_wine;add-on;rpg;30 ма€ 2016 г.;PC, PS4, XONE
https://stopga.me/images/games/logos/2602/c170x119/N8sK1rFVWTMA39jMjPVmcg/silent_hill_2.jpg;9.4;Silent Hill 2;https://stopgame.ru/game/silent_hill_2;action;adventure;24 сент€бр€ 2001 г.;PC, PS2, XBOX
https://stopga.me/images/games/logos/15283/c170x119/sy8npN49gdCKNWwhC_V1bw/witcher_3_wild_hunt_hearts_of_stone.jpg;9.4;Witcher 3: Wild Hunt - Hearts of Stone, The;https://stopgame.ru/game/witcher_3_wild_hunt_hearts_of_stone;add-on;rpg;13 окт€бр€ 2015 г.;PC, PS4, XONE
https://stopga.me/images/games/logos/12516/c170x119/1dCs4_MaKrjVtkdH-UjrxA/last_of_us_the.jpg;9.4;Last of Us, The;https://stopgame.ru/game/last_of_us_the;action;;14 июн€ 2013 г.;PS3
https://stopga.me/images/games/logos/1063/c170x119/Qy4Jl-lMY_l9rHtqbIkceA/fallout_2.jpg;9.4;Fallout 2;https://stopgame.ru/game/fallout_2;rpg;;29 окт€бр€ 1998 г.;Mac, PC
https://stopga.me/images/games/logos/5208/c170x119/agI_T5A8STlY3lAYIegehg/gothic_2_night_of_the_raven.jpg;9.3;Gothic 2: Night of the Raven;https://stopgame.ru/game/gothic_2_night_of_the_raven;add-on;rpg;21 августа 2003 г.;PC
https://stopga.me/images/games/logos/1245/c170x119/Uo_Pgto83ktjX6t3cPwKtA/gothic_2.jpg;9.3;Gothic 2;https://stopgame.ru/game/gothic_2;rpg;;29 но€бр€ 2002 г.;PC
https://stopga.me/images/games/logos/11546/c170x119/QvcmpNEOmY0soOieQOUY3A/portal_2.jpg;9.3;Portal 2;https://stopgame.ru/game/portal_2;logic;;19 апрел€ 2011 г.;Mac, PC, PS3, X360
